LastUpdateDT,UNIT,COMPANY_CODE,COMPANY_REGION_SRC,PROFIT_CENTER_CODE,COST_CENTER_CODE,GL_ACCOUNT_CODE,FE_CODE,FE_PRACTICE_GROUP_CODE,FE_OFFICE_CODE,FE_TEAM_CODE,LEAD_PARTNER_CODE,LEAD_PARTNER_PRACTICE_GROUP_CODE,LEAD_PARTNER_OFFICE_CODE,LEAD_PARTNER_TEAM_CODE,MATTER_CODE,VENDOR_CODE,DOCUMENT_TEXT,DOCUMENT_DATE,DOCUMENT_NUMBER,DOCUMENT_TYPE_CODE,POSTING_PERIOD,POSTING_DATE,DOCUMENT_CURRENCY_CODE,ACTUAL_AMOUNT_DC,OFFICE_CURRENCY_CODE,ACTUAL_AMOUNT_OC,GROUP_CURRENCY_CODE,ACTUAL_AMOUNT_GC,BUDGET_AMOUNT_GC,FORECAST_AMOUNT_GC
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1DR1754,4000000000,,DR,TOR1,1754,151187,DR,TOR1,1754,1001351028,#,#,20260220,9090843262,RV,202602,20260220,CAD,531,CAD,531,USD,401.4,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1IP2253,4000000000,,IP,TOR1,2253,144662,CS,OTT1,1501,1001364899,#,#,20260213,9090840735,RV,202602,20260213,CAD,5360,CAD,5360,USD,4051.7965,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1BF1250,4000000000,,BF,OTT1,1250,102928,RE,OTT1,2500,1001356880,#,#,20260226,9090844729,RV,202602,20260226,CAD,539,CAD,539,USD,407.4474,0,0
30/03/2026,Actual,CA11,NRFC,VAN1,VAN1CS1501,4003000000,,CS,VAN1,1501,144470,TX,VAN1,2750,1001239296,#,#,20260219,9090842373,RV,202602,20260219,CAD,-26.53,CAD,-26.53,USD,-20.0549,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1EL2000,4000000000,,EL,MTR1,2000,102863,EL,QUE1,2000,1001340820,#,#,20260224,9090843855,RV,202602,20260224,CAD,197.5,CAD,197.5,USD,149.2966,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1DR1754,4000000000,,DR,OTT1,1754,104406,AC,OTT1,1000,1001171894,#,#,20260227,9090845475,RV,202602,20260227,CAD,8060,CAD,8060,USD,6092.8134,0,0
30/03/2026,Actual,CA12,NRFC,MTR2,MTR2FN3750,6720000000,,FN,MTR2,3750,102438,IP,MTR2,2253,1001181873,#,#,20260220,1400077862,DZ,202602,20260220,USD,0,CAD,16,USD,12.0949,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,MTR1EL2000,4000000000,,EL,MTR1,2000,102756,EL,OTT1,2000,1000165723,#,#,20260227,9090845798,RV,202602,20260227,CAD,480,CAD,480,USD,362.8474,0,0
30/03/2026,Actual,CA11,NRFC,TOR1,TOR1PD5011,4000000000,,PD,TOR1,5011,102118,CS,MTR1,1501,1001197142,#,#,20260217,9090841672,RV,202602,20260217,CAD,680,CAD,680,USD,514.0339,0,0
30/03/2026,Actual,CA11,NRFC,CAL1,CAL1RE2500,4000000000,,RE,CAL1,2500,150277,RE,CAL1,2500,1001375876,#,#,20260226,9090844858,RV,202602,20260226,CAD,6446.5,CAD,6446.5,USD,4873.1168,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1EL2000,4000000000,,EL,OTT1,2000,103722,CS,QUE1,1501,1001332077,#,#,20260226,9090845042,RV,202602,20260226,CAD,1128,CAD,1128,USD,852.6915,0,0
30/03/2026,Actual,CA11,NRFC,OTT1,OTT1DR1754,4000000000,,DR,OTT1,1754,103772,DR,OTT1,1754,1001372786,#,#,20260227,9090845476,RV,202602,20260227,CAD,10815,CAD,10815,USD,8175.4065,0,0
30/03/2026,Actual,CA51,NRFC,TOR3,TOR3PD5000,6190500000,,PD,TOR3,5000,0,#,#,#,9000000845,5000008172,University of Ottawa Pledge   Common Law Entrepren,20260129,1900209521,KR,202602,20260205,CAD,20000,CAD,20000,USD,15118.6436,0,0
30/03/2026,Actual,CA51,NRFC,CAL5,CAL5PD5008,5508000000,,PD,CAL5,5008,0,#,#,#,9000000860,147352,010051928794 Elissa Olori Uber ride home from airp,20260206,1900210536,KR,202602,20260224,CAD,53.76,CAD,53.76,USD,40.6389,0,0
30/03/2026,Actual,CA51,NRFC,CAL5,CAL5PD5008,5508000000,,PD,CAL5,5008,0,#,#,#,9000000860,150075,010051915280 Isaiah Martin Uber ride to Montreal A,20260206,1900210539,KR,202602,20260224,CAD,35.4,CAD,35.4,USD,26.76,0,0
30/03/2026,Actual,CA11,NRFC,MTR1,VAN1TX2750,5400000000,,TX,VAN1,2750,144497,TX,VAN1,2750,1001346187,#,#,20260219,9090842828,RV,202602,20260219,CAD,23.49,CAD,23.49,USD,17.7568,0,0
