Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
60372,10000330,99745.55,2025-11-12 0:00,37903.54,2025-11-04 0:00,-24706.03,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60373,10000331,80394.57,2025-11-11 0:00,17274.66,2025-10-27 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60374,10000332,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60375,10000333,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60376,10000335,0,NULL,0,NULL,0,0,0,USD,1,2023-09-28 6:31,2023-09-27 6:16
60377,10000337,11568.76,2025-11-11 0:00,5635.43,2025-10-10 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60378,10000339,0,NULL,0,NULL,0,0,0,USD,1,2023-11-12 6:30,2023-11-11 17:15
60379,10000340,0,NULL,0,NULL,0,0,0,USD,1,2025-10-22 7:38,2025-10-21 17:15
60380,10000341,0,NULL,0,NULL,0,0,0,USD,1,2025-03-23 6:30,2025-03-22 13:46
60381,10000342,0,NULL,0,NULL,0,0,0,USD,1,2025-01-24 6:30,2025-01-24 6:15
60382,10000343,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60383,10000345,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60384,10000347,0,NULL,0,NULL,0,0,0,USD,1,2025-01-10 6:30,2025-01-10 6:15
60385,10000349,189.16,2025-10-06 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60386,10000350,0,NULL,0,NULL,0,0,0,USD,1,2023-03-26 6:30,2023-03-25 16:20
60387,10000351,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60388,10000352,4747.24,2025-10-14 0:00,730.58,2025-10-27 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60389,10000353,425.94,2025-10-30 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60390,10000355,0,NULL,283.5,2025-04-29 0:00,0,0,0,USD,1,2025-04-30 7:30,2025-04-30 6:16
60391,10000357,0,NULL,0,NULL,0,0,0,USD,1,2021-06-16 6:31,2021-06-15 6:05
