Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223204,1001368307,830.93,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223203,1001368303,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
1223202,1001368302,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-12 16:00
1223201,1001368300,2764.91,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223200,1001368323,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:00,2025-11-12 16:00
1223199,1001368317,388.8,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:56,2025-11-13 6:16
1223198,1001368330,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:09,2025-11-12 16:00
1223197,1001368313,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:43,2025-11-12 16:00
1223196,1001368320,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:07,2025-11-12 16:00
1223195,1001368333,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:36,2025-11-12 16:00
1223194,1001368310,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:59,2025-11-12 16:00
1223193,1001368312,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:30,2025-11-12 16:00
1223192,1001368326,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:02,2025-11-12 16:00
1223191,1001368319,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:38,2025-11-12 16:00
1223190,1001368315,7912.5,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:33,2025-11-13 6:16
1223189,1001368306,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:47,2025-11-12 16:00
1223188,1001368295,2450.25,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:10,2025-11-13 6:16
1223187,1001368309,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:07,2025-11-12 16:00
1223186,1001368299,17996.01,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:34,2025-11-13 6:15
1223185,1001368325,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:34,2025-11-12 16:00
1223184,1001368296,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:34,2025-11-12 16:00
1223183,1001368321,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:32,2025-11-12 16:00
1223182,1001368335,744.16,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:50,2025-11-13 6:15
1223181,1001368305,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:45,2025-11-12 16:00
1223180,1001368297,3230.34,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:32,2025-11-13 6:15
1223179,1001368318,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:48,2025-11-12 16:00
1223178,1001368328,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:53,2025-11-12 16:00
1223177,1001368332,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:52,2025-11-12 16:00
1223176,1001368327,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:38,2025-11-12 16:00
1223175,1001368298,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:37,2025-11-12 16:00
1223174,1001368308,2966.79,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-13 6:51,2025-11-13 6:16
1223173,1001368334,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:48,2025-11-12 16:00
1223172,1001368329,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 7:16,2025-11-12 16:00
1223171,1001368311,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:41,2025-11-12 16:00
1223170,1001368336,0,NULL,0,NULL,0,0,0,USD,1,2025-11-13 6:56,2025-11-12 16:00
1223169,1001368273,59.96,2025-10-08 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223168,1001368260,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
1223167,1001368248,1838.45,2025-11-12 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223166,1001368247,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223165,1001368232,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223164,1001368227,4576.15,2025-11-06 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:42,2025-11-13 6:16
1223163,1001368187,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223162,1001368153,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223161,1001368143,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223160,1001368142,1782.77,2025-11-11 0:00,0,NULL,24962.38,0,0,USD,1,2025-11-13 7:36,2025-11-13 6:16
1223159,1001368128,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223158,1001368127,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223157,1001368117,3621.55,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223156,1001368113,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
1223155,1001368182,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223154,1001368130,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:46,2025-11-12 6:15
1223153,1001368217,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:40,2025-11-12 6:15
1223152,1001368200,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:35,2025-11-12 6:15
